status,product_area,response,justification,request_type
escalated,Claude,Your request cannot be fully resolved using the available support documentation. It has been escalated to a support specialist for further assistance.,"The request was classified as product_issue related to Claude. Relevant support documentation was retrieved with sufficient confidence. Risk was assessed as low and urgency as high, so the ticket was escalated for further assistance.",product_issue
replied,Screening,"I'm unable to review your test answers, increase your score, or move you to the next round. Our system evaluates HackerRank test results based on the cutoff score set on the test level. If you believe your score was graded unfairly, please contact HackerRank directly.",The provided documentation does not support manual review or score adjustment of HackerRank test results. The system automatically updates the candidate's status and band based on the cutoff score set on the test level.,product_issue
escalated,Visa,Your request cannot be fully resolved using the available support documentation. It has been escalated to a support specialist for further assistance.,"The request was classified as product_issue related to Visa. Relevant support documentation was retrieved with sufficient confidence. Risk was assessed as high and urgency as low, so the ticket was escalated for further assistance.",product_issue
escalated,HackerRank,Your request cannot be fully resolved using the available support documentation. It has been escalated to a support specialist for further assistance.,"The request was classified as product_issue related to HackerRank. Relevant support documentation was retrieved with sufficient confidence. Risk was assessed as low and urgency as high, so the ticket was escalated for further assistance.",product_issue
escalated,HackerRank,Your request cannot be fully resolved using the available support documentation. It has been escalated to a support specialist for further assistance.,"The request was classified as product_issue related to HackerRank. Relevant support documentation was retrieved with sufficient confidence. Risk was assessed as low and urgency as low, so the ticket was escalated for further assistance.",product_issue
replied,None,"Unfortunately, I cannot assist you with the information security process of your company. Our documentation does not provide information on this topic.",The provided documentation does not contain any information related to information security processes or HackerRank for hiring.,product_issue
replied,Billing,Please check your account status and ensure you have a valid subscription. You can try logging out and logging back in to refresh your session.,"The user is experiencing issues with submissions and the apply tab, which suggests a potential account status or subscription issue, prompting a check of the billing product area.",product_issue
replied,Screening,Please check your network coverage and use our Internet compatibility check to ensure a stable connection. You can also refer to our dedicated support page for candidates to familiarize yourself with the HackerRank environment and its various capabilities.,"The issue described by the user is related to the functionality of the website during the test, which falls under the Screening product area. The provided documentation suggests checking network coverage and using the Internet compatibility check as potential solutions, as well as referring to the dedicated support page for candidates.",product_issue
replied,Screening,Please check your Zoom connectivity settings and ensure that they meet the minimum requirements for the test. You can refer to the system requirements section in the documentation for more information.,"The user is experiencing an issue with compatible check, specifically with Zoom connectivity. The solution is to check the Zoom settings and ensure they meet the minimum requirements, which can be found in the system requirements section of the documentation.",bug
replied,Screening,"Unfortunately, I cannot assist with rescheduling your HackerRank assessment as the provided documentation does not contain information on rescheduling or alternative dates and times for assessments.",The documentation only provides information on importing questions from a candidate's HackerRank test and does not address rescheduling or alternative dates and times for assessments.,product_issue
replied,Screening,"The inactivity times are not specified in the provided documentation. However, it is mentioned that interviewers are mostly watching the screen share and not active on their HR screen, which might be causing the issue.","The documentation does not provide information on inactivity times for candidates or interviewers, making it impossible to confirm the current settings or suggest changes.",product_issue
escalated,General Support,Your request cannot be fully resolved using the available support documentation. It has been escalated to a support specialist for further assistance.,"The request was classified as product_issue related to General Support. Relevant support documentation was retrieved with sufficient confidence. Risk was assessed as low and urgency as low, so the ticket was escalated for further assistance.",product_issue
